Name,ProductGroup,SKU,May,June,July,August,september,Quantity,Price,LEAD TIME,THRESHOLD VALUE
BUNK BED DELUXE B2,PET BEDS,B02,0,0,0,0,0,0,1200,7,3
BUNK BED DOUBLE DOOR LARGE B3,PET BEDS,B03,0,0,0,0,0,0,1200,5,3
BUNK BED DOUBLE DECK,PET BEDS,B04,0,0,0,0,0,1,1200,11,3
PET BED SEMI CLOSED WASHABLE W/ PILLOW -XL MANILA,PET BEDS,B05,0,0,0,0,0,2,1100,6,3
HOUSE BED - LARGE,PET BEDS,B06,0,0,0,0,0,1,1400,6,3
SMALL BED ROUND SOFT - XS,PET BEDS,B07,0,0,1,0,0,0,360,6,3
PET SOFA BED - SMALL,PET BEDS,B08,0,0,0,0,0,1,650,6,3
UNIVERSAL BED LARGE,PET BEDS,B09,0,0,0,0,0,6,920,6,3
VELVET BED,PET BEDS,B10,0,0,0,0,0,1,1100,6,3
SUMMER RECTANGULAR BED - LARGE,PET BEDS,B11,0,1,0,1,0,4,560,6,3
ROUND DOUGHNUT BED -SMALL,PET BEDS,B12,0,0,0,0,0,1,720,6,3
ROUND DOUGHNUT BED -MEDIUM,PET BEDS,B13,0,0,0,0,0,1,810,6,3
ROUND DOUGHNUT BED LARGE,PET BEDS,B14,0,0,0,0,0,0,810,6,3
BIG EYES SOFA BED - LARGE,PET BEDS,B15,0,0,0,0,0,1,1200,6,3
FRUIT SUMMER ROUND BACK NEST - LARGE,PET BEDS,B16,0,0,0,0,0,2,650,6,3
SOFT BED RECTANGULAR MEDIUM,PET BEDS,B17,1,1,0,0,0,-1,360,9,3
SOFT BED RECTANGULAR SMALL,PET BEDS,B18,0,0,0,0,0,1,220,9,3
CAT HAMMOCK WOOL COTTON S/M,PET BEDS,B19,0,1,1,1,0,4,160,10,3
CAT HAMMOCK WOOL COTTON LARGE,PET BEDS,B20,0,0,0,0,1,1,180,17,3
CAT HAMMOCK WOOL COTTON XL,PET BEDS,B21,0,0,1,0,1,1,220,18,3
SOFT BED WOOL COTTON - SMALL,PET BEDS,B22,1,2,3,0,0,0,290,18,3
SOFT BED WOOL COTTON - MEDIUM,PET BEDS,B23,0,2,3,3,3,1,380,18,4
HANGING TENT HAMMOCK - SMALL,PET BEDS,B24,0,0,1,0,0,2,196,18,3
DOUBLE HAMMOCK FRAME WOODEN,PET BEDS,B25,0,0,0,2,1,2,580,18,3
NET FENCE S/M/L,PET BEDS,B26,0,0,0,0,0,0,250,18,3
CAT HAMMOCK BOWL TYPE FLEECE COTTON - LARGE 45X45CM,PET BEDS,B27,0,0,0,0,0,0,320,18,3
MAT BED -LARGE,PET BEDS,B28,0,0,0,0,1,2,280,18,3
MAT BED - MEDIUM,PET BEDS,B29,0,1,0,0,0,1,230,18,3
PET HAMMOCK IN WOOD FRAME,PET BEDS,B30,0,1,0,0,0,1,290,15,3
CAT BUNK HAMMOCK CBH 38X38X37CM,PET BEDS,B31,0,0,1,1,5,,580,15,3
PET BED PVC ICE GEL OVAL - ICE PAD 70X50CM,PET BEDS,B32,0,0,0,0,1,,480,15,3
SOFT FLAT MAT BED - WASHABLE SFM,PET BEDS,B34,0,0,0,0,1,,220,13,3
PET CLOTHES SLIP ON BANDANA WITH COLLAR,CLOTHES AND FASHION ACCESSORIES,C01,0,0,0,0,0,1,220,14,3
PRINTED SHOES ALL SIZES,CLOTHES AND FASHION ACCESSORIES,C02,1,1,1,0,0,5,220,14,3
HIPIDOG BIGDOG SHOES,CLOTHES AND FASHION ACCESSORIES,C03,0,0,0,1,1,11,180,14,3
PET CLOTHES HOODIE CUSTOME WITH EARS S/M/L,CLOTHES AND FASHION ACCESSORIES,C04,0,0,0,0,0,0,325,14,3
PET CLOTHES PINK DRESS - LARGE,CLOTHES AND FASHION ACCESSORIES,C05,0,0,0,0,0,0,350,14,3
PET CLOTHES PINK DRESS - SMALL,CLOTHES AND FASHION ACCESSORIES,C06,0,0,0,0,0,0,320,7,3
PET CLOTHES STRIPED DESS S/M/L,CLOTHES AND FASHION ACCESSORIES,C07,0,0,0,0,0,0,320,7,3
POLICE SANDO - M,CLOTHES AND FASHION ACCESSORIES,C08,0,1,0,0,0,-1,95,7,3
POLICE SANDO - L,CLOTHES AND FASHION ACCESSORIES,C09,0,0,0,0,0,0,100,7,3
POLICE SANDO - XL,CLOTHES AND FASHION ACCESSORIES,C10,0,0,0,0,0,0,120,7,3
PET CLOTHES GREEN HOODIE JACKET,CLOTHES AND FASHION ACCESSORIES,C11,0,0,0,0,0,1,290,8,3
PET CLOTHES DENIM DRESS LACE,CLOTHES AND FASHION ACCESSORIES,C12,0,0,0,0,0,1,320,8,3
PET CLOTHES HOOD BLUE 2XL,CLOTHES AND FASHION ACCESSORIES,C13,1,0,0,0,0,3,220,8,3
PET CLOTHES LACE DRESS,CLOTHES AND FASHION ACCESSORIES,C14,3,1,2,1,0,6,140,8,3
PET CLOTHES CROSS BODY BEAR / PANDA - LARGE,CLOTHES AND FASHION ACCESSORIES,C15,0,0,1,0,0,1,220,8,3
PET CLOTHES CROSS BODY BEAR / PANDA - MEDIUM,CLOTHES AND FASHION ACCESSORIES,C16,0,0,2,0,0,2,190,8,3
PET CLOTHES CROSS BODY BEAR / PANDA - SMALL,CLOTHES AND FASHION ACCESSORIES,C17,0,0,0,1,0,5,170,8,3
PET CLOTHES FRUITY LEMON,CLOTHES AND FASHION ACCESSORIES,C18,0,0,0,0,0,2,210,18,3
RAINCOAT ALL SIZE,CLOTHES AND FASHION ACCESSORIES,C19,0,0,0,0,0,1,190,18,3
PET CLOTHES WITH HOOD,CLOTHES AND FASHION ACCESSORIES,C20,0,1,0,0,0,1,220,18,3
PET CLOTHES BINI SANDO - ALL SIZE,CLOTHES AND FASHION ACCESSORIES,C21,0,0,0,0,2,4,140,18,3
PET CLOTHES BLUE STRIPE - MEDIUM,CLOTHES AND FASHION ACCESSORIES,C22,0,0,1,0,0,3,120,18,3
PET CLOTHES YELLOW STRIPE BEAR - MEDIUM,CLOTHES AND FASHION ACCESSORIES,C23,0,0,0,0,0,4,120,18,3
PET CLOTHES BEAR PRINT SMALL,CLOTHES AND FASHION ACCESSORIES,C24,0,1,0,0,0,4,90,18,3
PET CLOTHES BEAR PRINT MEDIUM,CLOTHES AND FASHION ACCESSORIES,C25,0,0,0,0,0,6,120,18,3
