Name,ProductGroup,SKU,May,June,July,August,september,Quantity,Price,LEAD TIME,THRESHOLD VALUE,PredictedThreshold,RestockNeeded
BUNK BED DELUXE B2,PET BEDS,B02,0,0.0,0,0,0,0.0,1200.0,7,3,28.329901329901325,True
BUNK BED DOUBLE DOOR LARGE B3,PET BEDS,B03,0,0.0,0,0,0,0.0,1200.0,5,3,8.351565851565852,True
BUNK BED DOUBLE DECK,PET BEDS,B04,0,0.0,0,0,0,1.0,1200.0,11,3,35.78185328185329,True
PET BED SEMI CLOSED WASHABLE W/ PILLOW -XL MANILA,PET BEDS,B05,0,0.0,0,0,0,2.0,1100.0,6,3,17.845130845130846,True
HOUSE BED - LARGE,PET BEDS,B06,0,0.0,0,0,0,1.0,1400.0,6,3,15.121621621621621,True
SMALL BED ROUND SOFT - XS,PET BEDS,B07,0,0.0,1,0,0,0.0,360.0,6,3,13.334620334620336,True
PET SOFA BED - SMALL,PET BEDS,B08,0,0.0,0,0,0,1.0,650.0,6,3,16.945945945945944,True
UNIVERSAL BED LARGE,PET BEDS,B09,0,0.0,0,0,0,6.0,920.0,6,3,15.983054483054485,True
VELVET BED,PET BEDS,B10,0,0.0,0,0,0,1.0,1100.0,6,3,11.11926211926212,True
SUMMER RECTANGULAR BED - LARGE,PET BEDS,B11,0,1.0,0,1,0,4.0,560.0,6,3,13.945945945945947,True
ROUND DOUGHNUT BED -SMALL,PET BEDS,B12,0,0.0,0,0,0,1.0,720.0,6,3,17.14092664092664,True
ROUND DOUGHNUT BED -MEDIUM,PET BEDS,B13,0,0.0,0,0,0,1.0,810.0,6,3,10.277348777348777,True
ROUND DOUGHNUT BED LARGE,PET BEDS,B14,0,0.0,0,0,0,0.0,810.0,6,3,20.041613041613044,True
BIG EYES SOFA BED - LARGE,PET BEDS,B15,0,0.0,0,0,0,1.0,1200.0,6,3,14.803517803517805,True
FRUIT SUMMER ROUND BACK NEST - LARGE,PET BEDS,B16,0,0.0,0,0,0,2.0,650.0,6,3,20.17095667095667,True
SOFT BED RECTANGULAR MEDIUM,PET BEDS,B17,1,1.0,0,0,0,-1.0,360.0,9,3,27.14092664092664,True
SOFT BED RECTANGULAR SMALL,PET BEDS,B18,0,0.0,0,0,0,1.0,220.0,9,3,20.924281424281425,True
CAT HAMMOCK WOOL COTTON S/M,PET BEDS,B19,0,1.0,1,1,0,4.0,160.0,10,3,24.422779922779924,True
CAT HAMMOCK WOOL COTTON LARGE,PET BEDS,B20,0,0.0,0,0,1,1.0,180.0,17,3,31.518661518661517,True
CAT HAMMOCK WOOL COTTON XL,PET BEDS,B21,0,0.0,1,0,1,1.0,220.0,18,3,64.34663234663236,True
SOFT BED WOOL COTTON - SMALL,PET BEDS,B22,1,2.0,3,0,0,0.0,290.0,18,3,44.870870870870874,True
SOFT BED WOOL COTTON - MEDIUM,PET BEDS,B23,0,2.0,3,3,3,1.0,380.0,18,4,28.361647361647364,True
HANGING TENT HAMMOCK - SMALL,PET BEDS,B24,0,0.0,1,0,0,2.0,196.0,18,3,46.395967395967396,True
DOUBLE HAMMOCK FRAME WOODEN,PET BEDS,B25,0,0.0,0,2,1,2.0,580.0,18,3,62.84834834834835,True
NET FENCE S/M/L,PET BEDS,B26,0,0.0,0,0,0,0.0,250.0,18,3,74.32904332904333,True
CAT HAMMOCK BOWL TYPE FLEECE COTTON - LARGE 45X45CM,PET BEDS,B27,0,0.0,0,0,0,0.0,320.0,18,3,64.32046332046332,True
MAT BED -LARGE,PET BEDS,B28,0,0.0,0,0,1,2.0,280.0,18,3,67.17288717288717,True
MAT BED - MEDIUM,PET BEDS,B29,0,1.0,0,0,0,1.0,230.0,18,3,30.1964821964822,True
PET HAMMOCK IN WOOD FRAME,PET BEDS,B30,0,1.0,0,0,0,1.0,290.0,15,3,44.63835263835264,True
CAT BUNK HAMMOCK CBH 38X38X37CM,PET BEDS,B31,0,0.0,1,1,5,,580.0,15,3,32.36164736164736,False
PET BED PVC ICE GEL OVAL - ICE PAD 70X50CM,PET BEDS,B32,0,0.0,0,0,1,,480.0,15,3,48.496567996568,False
SOFT FLAT MAT BED - WASHABLE SFM,PET BEDS,B34,0,0.0,0,0,1,,220.0,13,3,37.66173316173317,False
PET CLOTHES SLIP ON BANDANA WITH COLLAR,CLOTHES AND FASHION ACCESSORIES,C01,0,0.0,0,0,0,1.0,220.0,14,3,43.97168597168598,True
PRINTED SHOES ALL SIZES,CLOTHES AND FASHION ACCESSORIES,C02,1,1.0,1,0,0,5.0,220.0,14,3,57.57936507936508,True
HIPIDOG BIGDOG SHOES,CLOTHES AND FASHION ACCESSORIES,C03,0,0.0,0,1,1,11.0,180.0,14,3,24.538824538824535,True
PET CLOTHES HOODIE CUSTOME WITH EARS S/M/L,CLOTHES AND FASHION ACCESSORIES,C04,0,0.0,0,0,0,0.0,325.0,14,3,31.81853281853282,True
PET CLOTHES PINK DRESS - LARGE,CLOTHES AND FASHION ACCESSORIES,C05,0,0.0,0,0,0,0.0,350.0,14,3,35.9963534963535,True
PET CLOTHES PINK DRESS - SMALL,CLOTHES AND FASHION ACCESSORIES,C06,0,0.0,0,0,0,0.0,320.0,7,3,22.142642642642645,True
PET CLOTHES STRIPED DESS S/M/L,CLOTHES AND FASHION ACCESSORIES,C07,0,0.0,0,0,0,0.0,320.0,7,3,18.749249249249246,True
POLICE SANDO - M,CLOTHES AND FASHION ACCESSORIES,C08,0,1.0,0,0,0,-1.0,95.0,7,3,22.693050193050194,True
POLICE SANDO - L,CLOTHES AND FASHION ACCESSORIES,C09,0,0.0,0,0,0,0.0,100.0,7,3,22.640283140283138,True
POLICE SANDO - XL,CLOTHES AND FASHION ACCESSORIES,C10,0,0.0,0,0,0,0.0,120.0,7,3,19.971900471900472,True
PET CLOTHES GREEN HOODIE JACKET,CLOTHES AND FASHION ACCESSORIES,C11,0,0.0,0,0,0,1.0,290.0,8,3,15.820677820677819,True
PET CLOTHES DENIM DRESS LACE,CLOTHES AND FASHION ACCESSORIES,C12,0,0.0,0,0,0,1.0,320.0,8,3,33.27627627627628,True
PET CLOTHES HOOD BLUE 2XL,CLOTHES AND FASHION ACCESSORIES,C13,1,0.0,0,0,0,3.0,220.0,8,3,18.345988845988845,True
PET CLOTHES LACE DRESS,CLOTHES AND FASHION ACCESSORIES,C14,3,1.0,2,1,0,6.0,140.0,8,3,23.320463320463325,True
PET CLOTHES CROSS BODY BEAR / PANDA - LARGE,CLOTHES AND FASHION ACCESSORIES,C15,0,0.0,1,0,0,1.0,220.0,8,3,18.256113256113256,True
PET CLOTHES CROSS BODY BEAR / PANDA - MEDIUM,CLOTHES AND FASHION ACCESSORIES,C16,0,0.0,2,0,0,2.0,190.0,8,3,27.610038610038607,True
PET CLOTHES CROSS BODY BEAR / PANDA - SMALL,CLOTHES AND FASHION ACCESSORIES,C17,0,0.0,0,1,0,5.0,170.0,8,3,28.9024024024024,True
PET CLOTHES FRUITY LEMON,CLOTHES AND FASHION ACCESSORIES,C18,0,0.0,0,0,0,2.0,210.0,18,3,65.95087945087946,True
RAINCOAT ALL SIZE,CLOTHES AND FASHION ACCESSORIES,C19,0,0.0,0,0,0,1.0,190.0,18,3,53.233376233376234,True
PET CLOTHES WITH HOOD,CLOTHES AND FASHION ACCESSORIES,C20,0,1.0,0,0,0,1.0,220.0,18,3,49.18747318747319,True
PET CLOTHES BINI SANDO - ALL SIZE,CLOTHES AND FASHION ACCESSORIES,C21,0,0.0,0,0,2,4.0,140.0,18,3,36.44980694980695,True
PET CLOTHES BLUE STRIPE - MEDIUM,CLOTHES AND FASHION ACCESSORIES,C22,0,0.0,1,0,0,3.0,120.0,18,3,48.59009009009009,True
PET CLOTHES YELLOW STRIPE BEAR - MEDIUM,CLOTHES AND FASHION ACCESSORIES,C23,0,0.0,0,0,0,4.0,120.0,18,3,50.03861003861004,True
