Name,ProductGroup,SKU,May,June,July,August,september,Quantity,Price,LEAD TIME,THRESHOLD VALUE,TotalSales,2025-10,Cluster,Deadstock
BUNK BED DELUXE B2,PET BEDS,B02,0,0.0,0,0,0,0.0,1200.0,7,3,2424.0,4,0,0
BUNK BED DOUBLE DOOR LARGE B3,PET BEDS,B03,0,0.0,0,0,0,0.0,1200.0,5,3,2416.0,0,0,1
BUNK BED DOUBLE DECK,PET BEDS,B04,0,0.0,0,0,0,1.0,1200.0,11,3,2439.0,9,0,0
PET BED SEMI CLOSED WASHABLE W/ PILLOW -XL MANILA,PET BEDS,B05,0,0.0,0,0,0,2.0,1100.0,6,3,2231.0,9,0,0
HOUSE BED - LARGE,PET BEDS,B06,0,0.0,0,0,0,1.0,1400.0,6,3,2821.0,1,1,0
SMALL BED ROUND SOFT - XS,PET BEDS,B07,0,0.0,1,0,0,0.0,360.0,6,3,740.0,0,0,1
PET SOFA BED - SMALL,PET BEDS,B08,0,0.0,0,0,0,1.0,650.0,6,3,1321.0,1,0,0
UNIVERSAL BED LARGE,PET BEDS,B09,0,0.0,0,0,0,6.0,920.0,6,3,1875.0,5,0,0
VELVET BED,PET BEDS,B10,0,0.0,0,0,0,1.0,1100.0,6,3,2220.0,0,0,1
SUMMER RECTANGULAR BED - LARGE,PET BEDS,B11,0,1.0,0,1,0,4.0,560.0,6,3,1154.0,4,0,0
ROUND DOUGHNUT BED -SMALL,PET BEDS,B12,0,0.0,0,0,0,1.0,720.0,6,3,1461.0,1,0,0
ROUND DOUGHNUT BED -MEDIUM,PET BEDS,B13,0,0.0,0,0,0,1.0,810.0,6,3,1640.0,0,0,1
ROUND DOUGHNUT BED LARGE,PET BEDS,B14,0,0.0,0,0,0,0.0,810.0,6,3,1638.0,0,0,1
BIG EYES SOFA BED - LARGE,PET BEDS,B15,0,0.0,0,0,0,1.0,1200.0,6,3,2420.0,0,0,1
FRUIT SUMMER ROUND BACK NEST - LARGE,PET BEDS,B16,0,0.0,0,0,0,2.0,650.0,6,3,1323.0,1,0,0
SOFT BED RECTANGULAR MEDIUM,PET BEDS,B17,1,1.0,0,0,0,-1.0,360.0,9,3,746.0,0,0,1
SOFT BED RECTANGULAR SMALL,PET BEDS,B18,0,0.0,0,0,0,1.0,220.0,9,3,466.0,0,0,1
